Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type
"Johannesen N.J., Kolhe M., Goodwin M.",Deregulated Electric Energy Price Forecasting in NordPool Market using Regression Techniques,2019,,"Deregulated electricity market day-ahead electrical energy price forecasting is important. It is influenced by external parameters and it is a complicated function. In this work two neighboring regions in the NordPool market are analyzed to provide day-ahead electrical price forecasting using regression techniques. The characteristics of the NordPool market trading behavior leads to unanticipated price peaks at daily, weekly and annual level. The considered two Nordic regions have different energy generation sources (e.g Norway has controllable hydro power, Denmark has non-controllable wind-power) therefore day-ahead electrical energy price forecasting in deregulated market for these two neighboring countries can impact the energy generation dynamics. Due to the dynamics of the electricity markets and region divisions this work proposes electric energy price forecasting using regression tools based in the k-Nearest Neighbor regressor, to capture the small increments in changing price behavior, and an autoregressor on top to capture the finite gradient of the occasional spikes in the price cycles. The electric energy price forecasting analysis of these two regions have shown that there is much more accurate forecasting in the Norwegian market compared to Danish market. To improve the forecasting in Danish market impact of external parameters (e.g meteorological parameters) should be considered for improving the forecasting. © 2019 IEEE.",Autoregression; Electrical energy price forecasting; Energy Markets; Machine Learning,Deregulation; Electric power transmission networks; Electric tools; Learning systems; Nearest neighbor search; Regression analysis; Weather forecasting; Wind power; Autoregression; Complicated functions; Deregulated electricity market; Deregulated markets; Electrical energy; Energy markets; Meteorological parameters; Regression techniques; Power markets,4,1,1,1,Conference
"Radovanovic A., Nesti T., Chen B.",A Holistic Approach to Forecasting Wholesale Energy Market Prices,2019,1,"Electricity market price predictions enable energy market participants to shape their consumption or supply while meeting their economic and environmental objectives. By utilizing the basic properties of the supply-demand matching process performed by grid operators, known as optimal power flow (OPF), we develop a methodology to recover energy market's structure and predict the resulting nodal prices by using only publicly available data, specifically grid-wide generation type mix, system load, and historical prices. Our methodology uses the latest advancements in statistical learning to cope with high-dimensional and sparse real power grid topologies, as well as scarce, public market data, while exploiting structural characteristics of the underlying OPF mechanism. Rigorous validations using the Southwest power pool market data reveal strong correlation between the grid level mix and corresponding market prices, resulting in accurate day-ahead predictions of real-time prices. The proposed approach demonstrates a remarkable proximity to the state-of-the-art industry benchmark, while assuming a fully decentralized, market-participant perspective. Finally, we recognize limitations of the proposed and other evaluated methodologies in predicting large price spike values. © 1969-2012 IEEE.",big data; compressed sensing; electricity price forecast; Locational Marginal Price (LMP); statistical learning; wholesale energy markets,Big data; Compressed sensing; Costs; Electric load flow; Electric power transmission networks; Forecasting; Electricity prices; Environmental objectives; Industry benchmarks; Locational marginal prices; Rigorous validation; Statistical learning; Structural characteristics; Wholesale energy market; Power markets,4,1,1,1,Article
"Mujeeb S., Javaid N.",ESAENARX and DE-RELM: Novel schemes for big data predictive analytics of electricity load and price,2019,12,"Accurate forecasting of the electricity price and load is an essential and challenging task in smart grids. Since electricity load and price have a strong correlation, the forecast accuracy degrades when bidirectional relation of price and load is not considered. Therefore, this paper considers price and load relationship and proposes two Multiple Inputs Multiple Outputs (MIMO) Deep Recurrent Neural Networks (DRNNs) models for price and load forecasting. The first proposed model, Efficient Sparse Autoencoder Nonlinear Autoregressive Network with eXogenous inputs (ESAENARX) comprises of feature engineering and forecasting. For feature engineering, we propose ESAE and performed forecasting using existing method NARX. The second proposed model: Differential Evolution Recurrent Extreme Learning Machine (DE-RELM) is based on RELM model and the meta-heuristic DE optimization technique. The descriptive and predictive analyses are performed on two well-known electricity markets’ big data, i.e., ISO NE and PJM. The proposed models outperform their sub models and a benchmark model. The refined and informative features extracted by ESAE improve the forecasting accuracy in ESANARX and optimization improves the DE-RELM's accuracy. As compared to cascade Elman network, ESAENARX has reduced MAPE upto 16% for load forecasting, 7% for price forecasting. DE-RELM reduce 1% MAPE for both load and price forecasting. © 2019 Elsevier Ltd",Big Data; Deep Recurrent Neural Networks; Differential Evolution; Efficient Sparse Autoencoder Nonlinear Autoregressive Network; Electricity Load and Price; Predictive Analytics; Recurrent Extreme Learning Machine,Big data; Deep neural networks; Electric power plant loads; Electric power transmission networks; Evolutionary algorithms; Forecasting; Knowledge acquisition; Machine learning; Optimization; Power markets; Predictive analytics; Recurrent neural networks; Smart power grids; Auto-regressive; Differential Evolution; Electricity load; Extreme learning machine; Feature engineerings; Forecasting accuracy; Nonlinear Autoregressive Network with exogenous inputs; Price and load forecasting; Electric load forecasting,"4, 5",2,1,1,Article
"Marcjasz G., Uniejewski B., Weron R.",On the importance of the long-term seasonal component in day-ahead electricity price forecasting with NARX neural networks,2019,20,"Daily and weekly seasonalities are always taken into account in day-ahead electricity price forecasting, but the long-term seasonal component has long been believed to add unnecessary complexity, and hence, most studies have ignored it. The recent introduction of the Seasonal Component AutoRegressive (SCAR) modeling framework has changed this viewpoint. However, this framework is based on linear models estimated using ordinary least squares. This paper shows that considering non-linear autoregressive (NARX) neural network-type models with the same inputs as the corresponding SCAR-type models can lead to yet better performances. While individual Seasonal Component Artificial Neural Network (SCANN) models are generally worse than the corresponding SCAR-type structures, we provide empirical evidence that committee machines of SCANN networks can outperform the latter significantly. © 2017 International Institute of Forecasters",Committee machine; Day-ahead market; Electricity spot price; Forecasting; Long-term seasonal component; NARX neural network,,"4, 5",1,1,1,Article
Poyrazoglu G.,Price Estimation by Random Walk Mean Reversion in Day-ahead Electricity Market,2019,,"The fluctuations in the Day-ahead electricity market (DAM) prices generally follow the periodic demand variance. However, the observations of historical data also reveal large jumps or spikes that might be defined as the randomness of the price formation. In this study, the Turkish DAM price is treated as a discrete signal to follow a methodology of utilizing the frequency-domain of the signal and a Fourier Transform analysis is employed for the separation of the random electricity price variations from the periodic ones. The volatility of the random electricity price variation is then used for the estimation of DAM price for a future day based on a random walk with a mean reversion method. The promising results are then compared with a multiple linear regression method from the literature to quantify the effectiveness of the proposed model for price forecasting for a Day-ahead electricity market. © 2019 IEEE.",day-ahead market; Electricity price volatility; Energy economics; Random Walk,Commerce; Cost estimating; Electric industry; Electric power transmission networks; Frequency domain analysis; Linear regression; Random processes; Smart power grids; Day ahead market; Day-ahead electricity market; Electricity price variations; Electricity price volatilities; Energy economics; Fourier transform analysis; Multiple linear regression method; Random Walk; Power markets,4,1,1,1,Conference
"Dash S.K., Dash P.K.",Short-term mixed electricity demand and price forecasting using adaptive autoregressive moving average and functional link neural network,2019,2,"A new hybrid adaptive autoregressive moving average (ARMA) and functional link neural network (FLNN) trained by adaptive cubature Kalman filter (ACKF) is presented in this paper for forecasting day-ahead mixed short-term demand and electricity prices in smart grids. The hybrid forecasting framework is intended to capture the dynamic interaction between the electricity consumers and the forecasted prices resulting in the shift of demand curve in electricity market. The proposed model comprises a linear ARMA-FLNN obtained by using a nonlinear expansion of the weighted inputs. The nonlinear functional block helps introduce nonlinearity by expanding the input space to higher dimensional space through basis functions. To train the ARMA-FLNN, an ACKF is used to obtain faster convergence and higher forecasting accuracy. The proposed method is tested on several electricity markets, and the performance metrics such as the mean average percentage error (MAPE), and error variance are compared with other forecasting methods, indicating the improved accuracy of the approach and its suitability for a real-time forecasting. © 2019, The Author(s).",Cubature Kalman filter; Mixed demand and price forecasting; Price spikes; Smart grids,Commerce; Costs; Electric power transmission networks; Electric power utilization; Forecasting; Gaussian noise (electronic); Kalman filters; Smart power grids; Adaptive autoregressive; Cubature kalman filters; Electricity consumers; Functional link neural network; Price forecasting; Price spike; Real-time forecasting; Smart grid; Power markets,"4, 5",1,1,1,Article
"Cheng H., Ding X., Zhou W., Ding R.",A hybrid electricity price forecasting model with Bayesian optimization for German energy exchange,2019,11,"Electricity price forecasting affects the operation of the entire electricity market and it is extremely important to every market participant. In this paper, a novel hybrid method, with using empirical wavelet transform (EWT), support vector regression (SVR), Bi-directional long short-term memory (BiLSTM) and Bayesian optimization (BO), is proposed to increase the accuracy of electricity price forecasting. First, EWT is used as a processing tool to decompose the original signal into specific modal components according to the characteristics of the signal itself. Then, considering the complexity of forecasting nonlinear subseries, SVR and BiLSTM are used as basic framework to forecast the nonlinear subseries. At the same time, BO is introduced to adjust parameters and optimize model performance. In last, the final prediction results are combined by the prediction results of different models. The proposed hybrid model is employed on the data gathered from the European Power Exchange Spot (EPEXSPOT). Five different case studies are adopted to verify the effectiveness of BO, EWT and hybrid model respectively. Statistical tests of experimental results compared with other situations demonstrated the proposed hybrid model can achieve a better forecasting performance. © 2019",Bayesian optimization; Bi-directional long short-term memory; Electricity price forecasting; Empirical wavelet transform; Time series analysis,Brain; Commerce; Financial data processing; Forecasting; Long short-term memory; Signal processing; Time series analysis; Wavelet transforms; Bayesian optimization; Bi-directional; Electricity price forecasting; Forecasting performance; Market participants; Model performance; Processing tools; Support vector regression (SVR); Power markets,"4, 5",1,1,1,Article
"Yang L., Zou B.",A Model Research on PJM Day-Ahead Market Locational Marginal Price Spread,2019,,"In this paper, day-ahead electricity price spread data in the PJM power market are modeled by Markov-switching generalized autoregressive conditional heteroskedasticity (MS-GARCH) model and the standard GARCH model. The MS-GARCH models are respectively estimated with two and three regimes. Research results show that locational marginal price spread volatility is not only highly volatile but also has significantly strong regime dependence, besides, also find that both the model fitting and for one-and multi-step ahead prediction according to such as MSE, RMSE and MAE index calculation, the results of MS-GARCH model are better than the standard GARCH model in fitting and forecasting. This electricity price spread forecast result can provide a reference for power market members to bid financial transmission rights in an annual auction, so as to maximize the benefits of market participants. © 2019 IEEE.",electricity price spread; markov-switching GARCH model; multi-regimes estimation; PJM power market,Commerce; Forecasting; Smart power grids; Electricity prices; Financial transmission right; GARCH models; Generalized autoregressive conditional heteroskedasticity; Index calculation; Locational marginal prices; Market participants; Multi-step-ahead predictions; Power markets,"3, 4",1,1,1,Conference
"Rodriguez-Aguilar R., Marmolejo-Saucedo J.A., Retana-Blanco B.",Prices of Mexican Wholesale Electricity Market: An application of alpha-stable regression,2019,1,"This paper presents a proposal to estimate prices in the Mexican Wholesale Electric Market, which began operations in February 2016, which is why it moves from a scheme with a single bidder to a competitive market. There are particularities in the case of the Mexican market, the main one being the gradual increase in the number of competitors observed until now and, on the other hand, the geographic and technical characteristics of the electric power generation. The observed prices to date show great fluctuations in the observed data due to diverse aspects; among the stems we can mention the own seasonality of the demand of electrical energy, the availability of fuel, the problems of congestion in the electrical network, as well as other risks such as natural hazards. For the above, it is relevant in a market context to have a price estimation as accurate as possible for the decision-making of supply and demand. This paper proposes a methodology for the generation of electricity price estimation through the application of stable alpha regressions, since the behavior of the electric market has shown the presence of heavy tails in its price distribution. © 2019 by the authors.",Alpha-stable distribution; Alpha-stable regression; Electricity markets; Electricity prices,decision making; demand analysis; electrical power; electricity; electricity supply; energy market; power generation; price dynamics; regression analysis; seasonality; spatial distribution; Mexico [North America],4,1,1,1,Article
"Yousefi A., Sianaki O.A., Sharafi D.",Long-Term Electricity Price Forecast Using Machine Learning Techniques,2019,,"Predicting the performance of energy commodities has long been a global priority for researchers and investors in the Energy sector. Large green field and brown field projects (often exceeding 1bn USD) are financed with locked in capital from the start, and typically take decades to return. Despite being one of the most important aspects of investment decision making, the prediction methodologies used widely today are not sophisticated enough to provide accurate insights for the investors. The new approach was proposed in this research to provide data analytics backed analysis for the performance of energy related commodities using innovative feature discovery methods and machine learning tools. In the presented research, a machine learning model was trained to predict the average monthly price of electricity in the next 5 years with focus on the California State energy market. Data points from 2001 to 2017 were collected and 78 data points are considered for analyses to select the highly-correlated features which could potentially affect the electricity price in the medium to long term. An economic case study is undertaken to understand the correlation of the features, and to avoid multicollinearity. In the next step, the selected features are applied into an S-ARIMA time series prediction algorithm. In addition, several feature-based machine learning algorithms are applied to the data and the results analysed and compared to find the effective forcasting approach. The findings demonstrated promising results for three years future price prediction horizon. Further studies are required to get more accurate electricity results beyond three years horizon. © 2019 IEEE.",Clustering; Energy Price Prediction; Feature Correlation Analysis; Machine Learning Algorithms; Random Forests; Time Series Analysis,Clustering algorithms; Data Analytics; Decision making; Decision trees; Economics; Electric power transmission networks; Forecasting; Investments; Learning systems; Machine learning; Regression analysis; Smart power grids; Time series analysis; Clustering; Energy prices; Feature correlation; Investment decision making; Machine learning models; Machine learning techniques; Prediction methodology; Random forests; Learning algorithms,"4, 5",3,1,1,Conference
"Bello A., Bunn D.W., Reneses J., Munoz A.",Medium-Term Probabilistic Forecasting of Electricity Prices: A Hybrid Approach,2017,22,"This paper provides a focus upon forecasting electricity prices in the medium term (from a few weeks to several months ahead) in which accurate estimates of tail risks, e.g., at the 1%, 5%, 95%, and 99%, are important. Medium term forecasting and risk analysis are important for operational scheduling, fuel purchasing, trading, and profit management. We extend the research on hybrid forecasting methods, which link detailed fundamental price formation models, using optimization techniques and market equilibrium considerations, with econometric recalibration to the time series data. This paper is innovative in its use of quantile regression to undertake the recalibration and provide accurate risk estimates. It is shown that probabilistic outputs from the fundamental model add value over expected value inputs to the quantile regressions and that if the fundamental model is itself well specified to diurnal variation through the inclusion of relevant explanatory variables such as demand or climatic conditions, then it is not necessary to undertake the quantile regressions separately for each hour of the day. A real application of the proposed methodology is successfully tested on the Spanish electric power system, in which the high penetration of intermittent wind generation creates extreme price risks. The hybrid method outperforms the more conventional fundamental model, making particular use of wind generation data in the quantile recalibrations. © 1969-2012 IEEE.",Electricity prices; fundamentals; hybrid model; probabilistic forecasting; quantile regression,Commerce; Electric power systems; Forecasting; Regression analysis; Risk analysis; Risk assessment; Scheduling; Electricity prices; fundamentals; Hybrid model; Probabilistic forecasting; Quantile regression; Costs,4,2,1,2,Article
