Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type,Approach,Model
"Yan X., Chowdhury N.A.",Mid-term electricity market clearing price forecasting utilizing hybrid support vector machine and auto-regressive moving average with external input,2014,28.0,"Currently, there are many techniques available for short-term electricity market clearing price (MCP) forecasting, but very little has been done in the area of mid-term electricity MCP forecasting. Mid-term electricity MCP forecasting has become essential for resources reallocation, maintenance scheduling, bilateral contracting, budgeting and planning purposes. A hybrid mid-term electricity MCP forecasting model combining both support vector machine (SVM) and auto-regressive moving average with external input (ARMAX) modules is presented in this paper. The proposed hybrid model showed improved forecasting accuracy compared to forecasting models using a single SVM, a single least squares support vector machine (LSSVM) and hybrid LSSVM-ARMAX. PJM interconnection data have been utilized to illustrate the proposed model with numerical examples. © 2014 Elsevier Ltd. All rights reserved.",Auto-regressive moving average with external input (ARMAX); Deregulated electric market; Electricity market clearing price (MCP); Electricity price forecasting; PJM; Support vector machine (SVM),Budget control; Costs; Deregulation; Electric industry; Electric load forecasting; Electricity; Forecasting; Scheduling; Deregulated electric markets; Electricity market; Electricity price forecasting; External input; PJM; Support vector machines,"4, 5",2,1,1,Article,4,
"Zhao J., Dong Z., Li X., Wong K.P.",A general method for electricity market price spike analysis,2005,28.0,"Many techniques have been employed to forecast electricity market prices, and have achieved good results. These techniques mostly focus on normal price forecasting, not on the forecasting of price spikes. Data mining techniques have been successfully applied to forecast the value of price spikes under the condition that a spike appears. However, an effective method of predicting the occurrence of the spikes is yet to be seen. In this paper, a data mining based approach is presented to give a reliable forecast of the occurrence of price spikes. Combined with spike value prediction techniques, the proposed approach can give a comprehensive price spike forecasting. In this paper, data pre-process techniques are described to find the attributes relevant to the spikes. Then a simple introduction to the classification techniques is given for completeness. Two algorithms: support vector machine and probability classifier are chosen and discussed in detail. Actual market data are used to test the proposed model, and promising results have been obtained. ©2005 IEEE.",,Algorithms; Classification (of information); Classifiers; Data mining; Electric load forecasting; Industrial economics; Marketing; Probability; Electricity market; Market prices; Probability classifier; Support vector machines; Electric power generation,5,1,1,1,Conference,7,
"Azevedo F., Vale Z.A.",Forecasting electricity prices with historical statistical information using neural networks and clustering techniques,2006,19.0,"Factors such as uncertainty associated to fuel prices, energy demand and generation availability, are on the basis of the agents major concerns in electricity markets. Facing that reality, price forecasting has an increasing impact in agents' activity. The success on bidding strategies or on price negotiation for bilateral contracts is directly dependent on the accuracy of the price forecast. However, taking decisions based only on a single forecasted value is not a good practice in risk management. The work presented in this paper makes use of artificial neural networks to find the market price for a given period, with a certain confidence level. Historical information was used to train the neural networks and the number of neural networks used is dependent of the number of clusters found on that data. K-Means clustering method is used to find clusters. A study case with real data is presented and discussed in detail. © 2006 IEEE.",Artificial neural networks; Clustering; Electricity markets; Price forecasting; Risk management; Volatility,Bidding strategy; Bilateral contracts; Clustering; Clustering techniques; Confidence levels; Electricity market; Electricity markets; Energy demands; Forecasting electricity; Fuel prices; Good practices; Historical information; K-means clustering method; Market price; Number of clusters; Price forecasting; Price forecasts; Price negotiations; Statistical information; Study case; Volatility; Commerce; Costs; Electricity; Energy management; Forecasting; Power transmission; Risk management; Neural networks,5,2,1,"1, 2",Conference,1,a
"Neupane B., Perera K.S., Aung Z., Woon W.L.",Artificial Neural Network-based electricity price forecasting for smart grid deployment,2012,18.0,"A deregulated electricity market is one of the keystones of up-and-coming smart grid deployments. In such a market, forecasting electricity prices is essential to helping stakeholders with the decision making process. Electricity price forecasting is an inherently difficult problem due to its special characteristics of dynamicity and nonstationarity. In our research, we use an Artificial Neural Network (ANN) model on carefully crafted input features for forecasting hourly electricity prices for the next 24 hours. The input features are selected from a pool of features derived from information such as past electricity price data, weather data, and calendar data. A wrapper method for feature selection is used in which the ANN model is continuously trained and updated in order to select the best feature set. The performance of the proposed method is evaluated and compared with the published results of the state-of-the-art Pattern Sequence-based Forecasting (PSF) method on the same data sets and our method is observed to provide superior results. © 2012 IEEE.",artificial neural network; feature selection; Price forecasting,24 hours; Ann models; Artificial neural network models; Decision making process; Deregulated electricity market; Electricity price forecasting; Electricity prices; Feature sets; Forecasting electricity; Input features; Network-based; Non-stationarities; Price forecasting; Smart grid; Weather data; Wrapper methods; Costs; Electric load forecasting; Feature extraction; Forecasting; Information science; Smart power grids; Neural networks,5,1,1,1,Conference,1,a
"Catalão J.P.S., Pousinho H.M.I., Mendes V.M.F.",Neural networks and wavelet transform for short-term electricity prices forecasting,2009,18.0,"This paper proposes neural networks in combination with wavelet transform for short-term electricity prices forecasting. In the new deregulated framework, producers and consumers require short-term price forecasting to derive their bidding strategies to the electricity market. Accurate forecasting tools are required for producers to maximize their profits and for consumers to maximize their utilities. The accuracy of the price forecasting attained with the proposed approach is thoroughly evaluated, reporting the numerical results from a real-world case study based on the electricity market of mainland Spain. © 2009 IEEE.",Electricity market; Neural networks; Price forecasting; Wavelet transform,Bidding strategy; Electricity market; Forecasting tools; Numerical results; Price forecasting; Real-world; Short-term electricity prices forecasting; Short-term price forecasting; Commerce; Costs; Deregulation; Electricity; Intelligent systems; Neural networks; Numerical analysis; Profitability; Wavelet transforms; Electric load forecasting,5,2,1,1,Conference,1,a
"Chen Y.-G., Ma G.",Electricity price forecasting based on support vector machine trained by genetic algorithm,2009,17.0,"Accurate electricity price forecasting can provide crucial information for electricity market participants to make reasonable competing strategies. Support vector machine (SVM) is a novel algorithm based on statistical learning theory, which has greater generalization ability, and is superior to the empirical risk minimization principle as adopted by traditional neural networks. However, its generalization performance depends on a good setting of the training parameters C, σ ε for the nonlinear SVM. In the study, support vector machine trained by genetic algorithm (GA-SVM) is adopted to forecast electricity price, in which GA is used to select parameters of SVM. National electricity price data in China from 1996 to 2007 are used to study the forecasting performance of the GASVM model. The experimental results show that GA-SVM algorithm has better prediction accuracy than radial basis function neural network (RBFNN). © 2009 IEEE.",Electricy price; Forecasting model; Genetic algorithm; Support vector machine,Electricity market; Electricity price forecasting; Electricity prices; Empirical risk minimization; Forecasting performance; Generalization ability; Generalization performance; Genetic algorithm support vector machines; Novel algorithm; Prediction accuracy; Price forecasting; Radial basis function neural networks; Statistical learning theory; SVM algorithm; Training parameters; Costs; Electric network analysis; Genetic algorithms; Image retrieval; Information technology; Learning algorithms; Mathematical models; Neural networks; Radial basis function networks; Support vector machines; Vectors; Electric load forecasting,5,3,1,1,Conference,4,
"Bigdeli N., Afshar K., Amjady N.",Market data analysis and short-term price forecasting in the Iran electricity market with pay-as-bid payment mechanism,2009,17.0,"Market data analysis and short-term price forecasting in Iran electricity market as a market with pay-as-bid payment mechanism has been considered in this paper. The data analysis procedure includes both correlation and predictability analysis of the most important load and price indices. The employed data are the experimental time series from Iran electricity market in its real size and is long enough to make it possible to take properties such as non-stationarity of market into account. For predictability analysis, the bifurcation diagrams and recurrence plots of the data have been investigated. The results of these analyses indicate existence of deterministic chaos in addition to non-stationarity property of the system which implies short-term predictability. In the next step, two artificial neural networks have been developed for forecasting the two price indices in Iran's electricity market. The models' input sets are selected regarding four aspects: the correlation properties of the available data, the critiques of Iran's electricity market, a proper convergence rate in case of sudden variations in the market price behavior, and the omission of cumulative forecasting errors. The simulation results based on experimental data from Iran electricity market are representative of good performance of the developed neural networks in coping with and forecasting of the market behavior, even in the case of severe volatility in the market price indices. © 2009 Elsevier B.V. All rights reserved.",Deregulation; Electricity market; Electricity price forecasting; Neural networks; Pay-as-bid,Costs; Deregulation; Electricity; Marketing; Neural networks; Time series; Artificial neural networks; Bifurcation diagrams; Convergence rates; Correlation properties; Data analysis; Deterministic chaos; Electricity market; Electricity price forecasting; Experimental datum; Forecasting errors; Input sets; Iran electricity markets; Market behaviors; Market datum; Market prices; Non-stationarity; Pay-as-bid; Payment mechanisms; Predictability analysis; Price indexes; Recurrence plots; Short-term price forecasting; Simulation results; Electric load forecasting,5,1,1,1,Article,1,a
"Singh N.K., Tripathy M., Singh A.K.",A radial basis function neural network approach for multi-hour short term load-price forecasting with type of day parameter,2011,16.0,"In 1990s, after deregulation of Australian electricity market, electricity became a commodity that can be bought and sold. This led power industry to change their planning strategies. In this planning Short Term Load Forecasting (STLF) plays a vital role to provide unit commitment, economic generation scheduling etc. In this paper, RBF neural network (RBFNN) is applied as short term load as well as price forecaster. While modeling process, day-type (Sunday, Monday, etc.) is considered as an extra input to the neural network. The prediction performance of proposed RBFNN architecture is evaluated using Mean of Mean Absolute Percentage Error (MMAPE) between actual data and forecasted data of New South Wales (Australia). The results obtained are compared with the results gained from classical moving average (MA), Holt-Winters and Feed Forward Neural Network (FFNN) methods. It is, in general, observed that the RBFNN is more accurate and works better with inclusion of day type input parameters. © 2011 IEEE.",Deregulation; electricity planning; feed forward neural network (FFNN); load forecasting; moving average method; radial basis function neural network (RBFNN),Australia; Australian electricity market; Economic generation; Holt-Winters; Input parameter; Load forecasting; Mean absolute percentage error; Modeling process; Moving average method; Moving averages; New South Wales; Planning strategies; Power industry; Prediction performance; Radial basis function neural networks; RBF neural networks; Short term; Short term load forecasting; Unit commitments; Deregulation; Electric load forecasting; Electricity; Forecasting; Industry; Information systems; Radial basis function networks; Neural networks,5,1,1,1,Conference,1,c
"Yan X., Chowdhury N.A.",Electricity market clearing price forecasting in a deregulated electricity market,2010,15.0,"This paper presents a mid-term electricity market clearing price forecasting technique utilizing neural network approach. Forecasting of mid-term market clearing price is essential for decision making, scheduling and bidding strategy planning purposes. However, forecasting mid-term electricity market clearing price is a very complex non-linear problem. Neural network based approaches can be effective forecasting tools in an environment with high degree of non-linearity and uncertainty. Two new artificial neural networks have been proposed and reported in this paper that can be utilized to forecast mid-term daily peak and mid-term hourly electricity market clearing price. Two situations have been considered; market clearing price forecasting under real deregulated electric market and under deregulated electric market with perfect competition. The PJM interconnected system has been utilized for numerical results. © 2010 IEEE.",Competitive market; Forecasting; Market clearing price; Neural network,Artificial Neural Network; Bidding strategy; Competitive markets; Degree of non-linearity; Deregulated electric markets; Deregulated electricity market; Electricity market; Forecasting tools; Interconnected systems; Market Clearing Price; Network-based approach; Nonlinear problems; Numerical results; Perfect competition; Commerce; Competition; Costs; Decision making; Deregulation; Electric industry; Neural networks; Numerical analysis; Technological forecasting; Electric load forecasting,5,2,1,2,Conference,1,a
"Xiao C., Dong Z., Xu Y., Meng K., Zhou X., Zhang X.",Rational and self-adaptive evolutionary extreme learning machine for electricity price forecast,2016,14.0,"Electricity price forecast is of great importance to electricity market participants. Moreover, various prediction approaches based on extreme learning machine (ELM) have been identified as effective on normal decision space. Especially, evolutionary extreme learning machine (E-ELM) may obtain better solution quality. However, in high dimensional space, E-ELM is time-consuming because it is difficult to converge into optimal region when just relied on stochastic searching approaches. In addition, due to the complex functional relationship is often complicated, the objective function of E-ELM seems hard to be mined directly for obtaining useful mathematical information to guide the optimum exploring. This paper proposes a new differential evolution (DE)-like algorithm to enhance E-ELM for more accurate and reliable prediction of electricity price. The approximation model for producing DE-like trail vector is the key mechanism, which may use simpler mathematical mapping to replace the original yet complicated functional relationship within a small region. Thus, the evolutionary procedure frequently guided by rational searching directions may make the E-ELM more robust and faster than supported only by those stochastic methods. Several benchmarks are applied to test the performances of the proposed algorithm and the experimental results have shown that the new method can improve the performance of E-ELM. © 2016, Springer-Verlag Berlin Heidelberg.",Approximation model; Differential evolution; Electricity price prediction; Extreme learning machine,Benchmarking; Costs; Evolutionary algorithms; Forecasting; Functions; Knowledge acquisition; Optimization; Stochastic systems; Approximation model; Differential Evolution; Electricity prices; Extreme learning machine; Functional relationship; High dimensional spaces; Mathematical information; Stochastic searching; Learning systems,5,1,1,1,Article,1,b
"Yan X., Chowdhury N.A.",Mid-term electricity market clearing price forecasting using multiple least squares support vector machines,2014,14.0,"Mid-term electricity market clearing price (MCP) forecasting has become essential for resources reallocation, maintenance scheduling, bilateral contracting, budgeting and planning purposes. Currently, there are many techniques available for short-term electricity MCP forecasting, but very little has been done in the area of mid-term electricity MCP forecasting. A multiple least squares support vector machine (LSSVM) based mid-term electricity MCP forecasting model is proposed in this study. Data classification and price forecasting modules are designed to first pre-process the input data into corresponding price zones, and then forecast the electricity price. The proposed model showed improved forecasting accuracy on both peak prices and overall system compared to the forecasting model using a single LSSVM. PJM interconnection data are used to test the proposed model. © The Institution of Engineering and Technology 2014.",,Electricity market; Least squares support vector machines,5,2,1,1,Article,4,
"Yan X., Chowdhury N.A.",A comparison between SVM and LSSVM in mid-term electricity market clearing price forecasting,2013,14.0,"The generating companies as well as the bulk sellers in a deregulated environment want to maximize their profits. For these entities, offering the appropriate amount of electricity at the right time with the right bidding price is of paramount importance. A comparison between support vector machine (SVM) and least squares support vector machine (LSSVM) in mid-term electricity MCP forecasting is presented in this paper. Mid-term electricity MCP forecasting has become essential for resources reallocation, maintenance scheduling, bilateral contracting, budgeting and planning purposes. Currently, there are many techniques available for short-term electricity market clearing price (MCP) forecasting, but very little has been done in the area of mid-term electricity MCP forecasting. PJM interconnection data have been utilized to illustrate the proposed model with numerical examples. © 2013 IEEE.",Deregulated electric market; electricity market clearing price (MCP); least squares support vector machine (LSSVM); mid-term electricity MCP forecasting; PJM; support vector machine (SVM),Bilateral contracting; Deregulated electric markets; Deregulated environments; Electricity market; Generating companies; Least squares support vector machines; Maintenance scheduling; PJM; Budget control; Costs; Deregulation; Electric industry; Electricity; Forecasting; Support vector machines,5,2,1,1,Conference,4,
"Dev P., Martin M.A.",Using neural networks and extreme value distributions to model electricity pool prices: Evidence from the Australian National Electricity Market 1998-2013,2014,13.0,"Competitors in the electricity supply industry desire accurate predictions of electricity spot prices to hedge against financial risks. Neural networks are commonly used for forecasting such prices, but certain features of spot price series, such as extreme price spikes, present critical challenges for such modeling. We investigate the predictive capacity of neural networks for electricity spot prices using Australian National Electricity Market data. Following neural net modeling of the data, we explore extreme price spikes through extreme value modeling, fitting a Generalized Pareto Distribution to price peaks over an estimated threshold. While neural nets capture the smoother aspects of spot price data, they are unable to capture local, volatile features that characterize electricity spot price data. Price spikes can be modeled successfully through extreme value modeling. © 2014 Elsevier Ltd. All rights reserved.",Electricity pricing; Generalized Pareto Distribution; Neural net; Time series modeling,Electricity; Neural networks; Accurate prediction; Electricity pricing; Electricity spot price; Extreme value distributions; Generalized Pareto Distributions; National electricity markets; Neural net; Time series modeling; Costs,5,1,1,1,Article,1,a
"Xie L., Zheng H., Zhang L.",Electricity price forecasting by clustering-LSSVM,2007,12.0,"There is a general consensus that the movement of electricity price is crucial for electricity market. As a practical tool to estimate the future prices, electricity price forecaster is of great importance and use for the operations of market participants. This paper presents a hybrid forecast model that integrates Clustering algorithm with Least Square Support Vector Machine (LS-SVM). First, clustering of the data samples are performed, which aims at mining the latent patterns in the data. After that, LS-SVM is applied for the nonlinear regression modeling of electricity price and its influence factors signed with its class, which result in a more efficient training and forecasting. Finally, hourly prices and loads of Californian market are employed to test the proposed approach. © 2007 RPS.",Clustering; Electricity market; Electricity price; Forecasting; Least Squares Support Vector Machine,Arsenic compounds; Cluster analysis; Clustering algorithms; Curve fitting; Electricity; Flow of solids; Forecasting; Least squares approximations; Mathematical models; Research aircraft; Support vector machines; Two phase flow; Clustering; Electricity market; Electricity price; Electricity pricing; Least Squares Support Vector Machine; Electric load forecasting,5,1,1,1,Conference,4,
Chaâbane N.,A novel auto-regressive fractionally integrated moving average-least-squares support vector machine model for electricity spot prices prediction,2014,10.0,"In the framework of competitive electricity market, prices forecasting has become a real challenge for all market participants. However, forecasting is a rather complex task since electricity prices involve many features comparably with those in financial markets. Electricity markets are more unpredictable than other commodities referred to as extreme volatile. Therefore, the choice of the forecasting model has become even more important. In this paper, a new hybrid model is proposed. This model exploits the feature and strength of the auto-regressive fractionally integrated moving average model as well as least-squares support vector machine model. The expected prediction combination takes advantage of each model's strength or unique capability. The proposed model is examined by using data from the Nordpool electricity market. Empirical results showed that the proposed method has the best prediction accuracy compared to other methods. © 2013 © 2013 Taylor & Francis.",ARFIMA; electricity price forecasting; hybrid model; LS-SVM; NordPool electricity market,,"4, 5",1,1,1,Article,4,
"Wang Y., Yu S.",Price forecasting by ICA-SVM in the competitive electricity market,2008,9.0,"Price forecaster is one of the important aspects in the researches of the electricity price. But because of the special properties of electricity, the price of electricity is far more volatile than that of other relatively volatile commodities. Due to such significant volatility, it is difficult to make an accurate forecast for the spot market of electricity. To solve above problem, a hybrid algorithm for price forecasting is proposed. The procedure comprises two main steps. The first step is feature extract of price feature by independent component analysis that has special effect on extracting the latent source feature. The second step is regression modeling by support vector machine training with the refined features that can realize higher-dimensional nonlinear regression with good generalization ability. In this way, the two algorithms have combined, whose advantages have been made a full use. Case studies are applied to test the proposed model. ©2008 IEEE.",,Electronics industry; Feature extraction; Food processing; Forecasting; Independent component analysis; Industrial electronics; Support vector machines; Case studies; Competitive electricity markets; Electricity pricing; Generalization ability; Hybrid algorithm; Independent components; Non-linear regression; Price forecasting; Regression modelling; Special properties; Spot markets; Electric load forecasting,5,2,1,1,Conference,4,
"Zarezadeh M., Naghavi A., Ghaderi S.F.",Electricity price forecasting in Iranian electricity market applying Artificial Neural Networks,2008,8.0,"Nowadays in deregulated electricity markets, forecasting becomes more and more important. Accurate estimating price is the most essential task and the basis for any decision making and developing biding strategies. In this paper Artificial Neural Network (ANN) is applied to forecast electricity price. ANNs have been used successfully in many forecasting applications recently. Historical data of weighted average prices in electricity market that cleared with pay as bid settlement rule and also forecasted electricity demand are used to train neural networks (NN) model. The data for historical electricity prices are considered by two criterion of temperature and load in order to improve training. Data are categorized in to two seasonal parts of warm and cold days and also they are categorized by three loads level of low, normal and peak. To support better accuracy of estimating prices six different NN architectures are modeled for combination of the criterions, the NN also selected electricity prices of similar days in previous year. In the end, the results of forecasting prices of ANNs are compared with the results obtained from regression model. There is confirmed that, AANs have better performance comparing to traditional method in forecasting electricity prices. © 2008 IEEE.",Electricity markets; Electricity price; Forecast; Historical data; Neural network (NN); Regression model,Backpropagation; Costs; Deregulation; Electric power supplies to apparatus; Electricity; Marketing; Neural networks; Regression analysis; Electricity markets; Electricity price; Forecast; Historical data; Neural network (NN); Regression model; Electric load forecasting,5,1,1,1,Conference,1,a
"Srinivasan D., Fen C.Y., Ah C.L.",Electricity price forecasting using evolved neural networks,2007,8.0,"Evolutionary techniques have capabilities of efficient search space exploration with population models corresponding to the problem. Their ability to capture the non linear dependencies among the system variables has invited economic analysts towards their use in the field of financial time series prediction. Although simple neural networks with sufficient number neuron units in the hidden layer are capable of following dynamics of any deterministic system, the weight search space becomes too complex to be searched using a simple back propagation based training algorithm. This paper presents and evaluates two alternative methods for finding the optimum weights of a neural network to capture the chaotic dynamics of electricity price data. The first method uses evolutionary algorithm to evolve a neural network, and the second method uses Particle Swarm Optimization for NN training. The global search capabilities of these evolutionary methods is used for finding the optimum neural network for forecasting electricity price from the California Power Exchange.",,Alternative methods; Back propagation; California; Chaotic dynamics; Deterministic systems; Efficient search; Electricity price forecasting; Electricity pricing; Evolutionary methods; Evolutionary techniques; Financial time series prediction; Forecasting electricity; Global search; Hidden layers; International conferences; Neuron units; Non-linear; Optimum weights; Particle Swarm optimizations; Population modeling; Power exchange; Power systems; Search spaces; System variables; Training algorithms; Artificial intelligence; Backpropagation algorithms; Chaotic systems; Chlorine compounds; Dynamics; Electric load forecasting; Electric power systems; Evolutionary algorithms; Forecasting; Image classification; Intelligent systems; Particle swarm optimization (PSO); Population statistics; Space research; Time series analysis; Vegetation; Neural networks,5,2,1,1,Conference,1,a
"Feuerriegel S., Riedlinger S., Neumann D.",Predictive analytics for electricity prices using feed-ins from renewables,2014,7.0,"Since the liberalization of European electricity markets, stakeholders can actively participate in the trading of electricity. Successful participation in such markets requires an accurate forecast of future electricity prices. However, as large volumes of energy from renewable sources are fed into the system, electricity prices are highly volatile. While recent approaches put a strong focus on models from time series analysis using merely historic prices, only a few study the influence of exogenous predictors. This paper includes both expected solar power generation and expected wind power generation as exogenous predictors and improves state of the art by assessing their beneficial impact when evaluating our forecasting models with a two-pronged approach. First, we show that these externals decrease root mean squared errors by between 3.37% and 9.86%. Second, we apply a Diebold-Mariano test to prove statistically that the forecasting accuracy of the models including exogenous predictors is superior.",Business Intelligence; Decision making/makers; Decision support; Electricity prices; Forecasting accuracy; Predictive analytics,Commerce; Competitive intelligence; Decision support systems; Electric power generation; Forecasting; Information systems; Solar power generation; Time series analysis; Decision supports; Electricity prices; Energy from renewable sources; Forecasting accuracy; Forecasting models; Predictive analytics; Root mean squared errors; Trading of electricities; Costs,5,2,1,1,Conference,1,a
"Zhang C., Ma P.",Short-term electricity price forecasting based on PSO algorithm and RBF neural network algorithm,2010,7.0,"A method of Radial Basis Function(RBF)neural network algorithm based on Particle Swarm Optimization (PSO) algorithm is introduced.In the background of PJM electricity market in the USA,the short-term price is forecasted with the historical price and loads.After determining the numberinverted commas the center and width of the hidden layer ,code the weights of output layer to individual particles and optimize them,then search the weight value of the best in the overall space.The result says that the new algorithm can improve the accuracy compared the traditional RBF network forcasting methods, so it has good application prospect. © 2010 IEEE.",Component; Elctricity system; Particle swarm optimization; RBF neural network; Short-term eletrcity price forecast,Application prospect; Electricity market; Electricity price forecasting; Hidden layers; Individual particles; Output layer; Particle swarm optimization algorithm; Price forecasts; PSO algorithms; Radial basis function neural networks; RBF Network; RBF Neural Network; Weight values; Algorithms; Costs; Electric load forecasting; Mechatronics; Particle swarm optimization (PSO); Radial basis function networks; Neural networks,5,1,1,1,Conference,1,c
"Keynia F., Heydari A.",A new short-term energy price forecasting method based on wavelet neural network,2019,6.0,"A wavelet neural network (WNN) is proposed for short-term price forecasting (STPF) in electricity markets. Back propagation algorithm is used for training the wavelet neural network for prediction. Weights in the back propagation algorithm are usually initialised with small random values. If the random initial weights happen to be far from a suitable solution or near a poor local optimum, training may take a long time or get trapped in the local optimum. In this paper, we show that WNN has acceptable prediction properties compared to other forecasting techniques. We investigated proper weight initialisations of WNN, and proved that it attains a superior prediction performance. Finally, we used a two-step correlation analysis algorithm for input selecting. This algorithm selects the best relevant and non-redundant input features for WNN. Our model is examined for MCP prediction of the Spanish market and LMP forecasting in PJM (Pennsylvania, New Jersey and Maryland) market for the year 2002 and 2006 respectively. © 2019 Inderscience Enterprises Ltd.",adaptive wavelet neural network; electricity market; location marginal price; short-term price forecasting; STPF.,,5,"1, 2",1,1,Article,1,a
"Shrivastava N.A., Panigrahi B.K.",Prediction interval estimations for electricity demands and prices: A multi-objective approach,2015,6.0,"Electricity price and demand forecasting are becoming essential practices for the deregulated market participants such as system operators, generation companies, industries and end use consumers. With a prominent growth in the uncertainty aspect of the energy sources, climatic changes and demand patterns, it is essential to supplement the traditional point forecasts with prediction intervals (PIs) which are an important tool for quantifying the uncertainty of forecasted entities. This study proposes a novel approach for generation of PIs using a differential evolution-based multi-objective approach. The traditional PI generation is framed as a multi-objective problem and a set of Pareto-optimal solutions are generated. The proposed technique is validated using electricity price and demand data from the Ontario electricity market. Experimental results indicate that the proposed technique can successfully generate high-quality PIs. © 2015. The Institution of Engineering and Technology.",,Commerce; Costs; Deregulation; Evolutionary algorithms; Optimization; Pareto principle; Deregulated markets; Differential Evolution; Electricity demands; Generation companies; Multi-objective problem; Ontario electricity markets; Pareto optimal solutions; Prediction interval; Forecasting,"1, 5",2,1,2,Article,4,
"Shrivastava N.A., Khosravi A., Panigrahi B.K.",Prediction interval estimation for electricity price and demand using support vector machines,2014,6.0,"Uncertainty is known to be a concomitant factor of almost all the real world commodities such as oil prices, stock prices, sales and demand of products. As a consequence, forecasting problems are becoming more and more challenging and ridden with uncertainty. Such uncertainties are generally quantified by statistical tools such as prediction intervals (Pis). Pis quantify the uncertainty related to forecasts by estimating the ranges of the targeted quantities. Pis generated by traditional neural network based approaches are limited by high computational burden and impractical assumptions about the distribution of the data. A novel technique for constructing high quality Pis using support vector machines (SVMs) is being proposed in this paper. The proposed technique directly estimates the upper and lower bounds of the PI in a short time and without any assumptions about the data distribution. The SVM parameters are tuned using particle swarm optimization technique by minimization of a modified Pi-based objective function. Electricity price and demand data of the Ontario electricity market is used to validate the performance of the proposed technique. Several case studies for different months indicate the superior performance of the proposed method in terms of high quality PI generation and shorter computational times. © 2014 IEEE.",Deregulation; Particle swarm optimization; Prediction interval; Support vector machines; Uncertainty,Costs; Deregulation; Forecasting; Particle swarm optimization (PSO); Statistical mechanics; Uncertainty analysis; Computational burden; Network-based approach; Ontario electricity markets; Particle swarm optimization technique; Prediction interval; Support vector machine (SVMs); Uncertainty; Upper and lower bounds; Support vector machines,5,2,1,2,Conference,4,
"Catalão J.P.S., Mariano S.J.P.S., Mendes V.M.F., Ferreira L.A.F.M.",Application of neural networks on next-day electricity prices forecasting,2006,6.0,"This paper presents an application for next-day electricity prices forecasting based on neural networks. Good forecasting tools hedging against daily price volatility are becoming increasingly important in nowadays competitive electricity markets, avowing misjudgement of future price movements and preventing considerable losses for consumers and producers. Next-day electricity price forecast is essential to consumers and to producers in planning the operations of their electric energy resources and for developing negotiation skills in order to achieve better profits. We evaluate the accuracy of the proposed application of neural networks for next-day electricity prices forecasting based on case studies for a real world electricity market and report our experience with this application.",Electricity markets; Neural networks; Prices forecasting,Applications; Artificial intelligence; Energy conversion; Energy resources; Energy utilization; Forecasting; Neural networks; Statistics; Weight control; case studies; Competitive electricity markets; Electric energy resources; Electricity markets; electricity price forecasting; Electricity prices forecasting; Forecasting tools; In order; International (CO); power engineering; price movements; price volatility; Real world; Electric load forecasting,5,1,1,1,Conference,1,a
"Lee J.-K., Park J.-B., Shin J.-R., Lee K.Y.",A system marginal price forecasting based on an artificial neural network adapted with rough set theory,2005,6.0,"This paper presents a forecasting technique of the short-term system marginal price (SMP) using an Artificial Neural Network (ANN) adapted with Rough Set theory. The SMP forecasting is a very important element in an electricity market for the optimal biddings of market participants as well as for market stabilization of regulatory bodies. Input data is grouped into similar pattern using rough set theory, and the resulting patterns are used to train the ANN. In training of ANN, it is more efficient because some patterns are combined into one pattern. After training with the combined patterns adapted with rough set, the SMP is forecasted using the ANN. The proposed method is applied to the historical real-world data from the Korea Power Exchange (KPX) to verify the effectiveness of the technique. © 2005 IEEE.",Artificial neural network; Forecasting; Rough set theory; System marginal price,Biddings; Korea power exchange (KPX); Price forecasting; System marginal price; Data reduction; Industrial economics; Marketing; Neural networks; Optimal control systems; Rough set theory; Electric load forecasting,5,2,1,1,Conference,1,a
"Marín J.B., Orozco E.T., Velilla E.","Forecasting electricity price in Colombia: A comparison between neural network, ARMA process and hybrid models",2018,5.0,"This study aims to predict electricity prices in the Colombian electricity market. To achieve this goal, conventional time series econometrics analysis and one alternative technique based on artificial intelligence algorithms have been implemented. We use autoregressive-moving-average models (ARMAX) and non-linear autoregressive neural networks (NARX). After estimating a hybrid model that combines ARMAX and ARNX models, including exogenous inputs, we forecasted an electricity price time series in a horizon of 12 months ahead (May, 2017). Results show that NARX model’s performance is not significantly better than ARMAX’s. After applying a Diebold-Mariano test for forecasting accuracy, the null hypothesis is not rejected. This suggests no significant difference in predictive accuracy between the competing methodologies. © 2018, Econjournals. All rights reserved.",Autoregressive-moving-average; Electricity Spot Price; NARX; Predictive Accuracy; Random Walk; Stochastic Process,,"4, 5",3,1,1,Article,1,a
