Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catalão J.P.S., Pousinho H.M.I., Mendes V.M.F.",New hybrid intelligent approach to forecast wind power and electricity prices in the short-term,2011,1,"The increased integration of wind power into the grid poses challenges due to its intermittency. Besides, deregulation of the energy markets brings electricity prices uncertainty. Hence, a new hybrid intelligent approach is proposed in this paper to forecast wind power and electricity prices in the short-term. Results from real-world case studies are presented, in order to illustrate the proficiency of the proposed approach. Finally, conclusions are duly drawn.",Computational intelligence; Forecasting; Pricing; Simulation; Wind energy,Artificial intelligence; Costs; Deregulation; Forecasting; Wind power; Case-studies; Electricity prices; Energy markets; Hybrid intelligent approach; Intermittency; Real-world; Short term; Simulation; Weather forecasting,5,1,0,0,Fokus vind,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moreno J., Medina S.",Energy price variation estimation using an ANFIS model,2011,,"This article presents the implementation of an ANFIS model to estimate price movements in the energy market in Colombia in the short term with regard to hydrological conditions in order to support the decision making process of the involved agents. The proposed model considers three input variables: an ENSO phenomenon forecast, the system's reservoir level and the hydraulic contributions of the rivers to the generation plants. The model was trained and validated with actual monthly data from 1999 until 2007. According to the results, the model captures the price tendency in an accurate way, but it must be complemented with other models that reflect the influence of other factors in the energy price formation process in this country or in others with similar features.",ANFIS; Energy market; Hydrological phenomena; Price formation,ANFIS; ANFIS model; Colombia; Decision making process; Energy markets; Energy prices; Hydrological condition; Hydrological phenomena; Input variables; Price formation; Price movement; Short term; Reservoirs (water); Costs,5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amjady N., Keynia F.",A new prediction strategy for price spike forecasting of day-ahead electricity markets,2011,36,"Price spikes are distinctive aspects of electricity price impacting its forecast accuracy. Electricity price spikes can also have serious economical effects on the market participants. However, prediction of electricity price spikes is a complex task and most of current electricity price forecast methods focus on prediction of normal prices. In this paper, a new forecast strategy for prediction of both occurrence and value of electricity price spikes is presented. The proposed strategy has a novel feature selection technique based on information theoretic criteria to select a minimum subset of the most informative features for the forecast process. Also, the strategy includes a new closed loop prediction mechanism composed of probabilistic neural network (PNN) and hybrid neuro-evolutionary system (HNES) forecast engines. The effectiveness of the proposed forecast strategy for the prediction of both price spike occurrence and value is extensively evaluated by the real-life data of PJM (Pennsylvania-New Jersey-Maryland) electricity market. The obtained results confirm the validity of the developed approach. © 2010 Elsevier B.V. All rights reserved.",Electricity price spike; Feature selection technique; Forecast engine; Prediction strategy,Closed-loop predictions; Complex task; Day-ahead electricity market; Economical effects; Electricity market; Electricity price spikes; Electricity prices; Feature selection; Feature selection technique; Forecast accuracy; Forecast engine; Information theoretic criterion; Market participants; Minimum subsets; Neuro-evolutionary systems; Prediction strategy; Price spike; Probabilistic neural networks; Real life data; Commerce; Costs; Electric load forecasting; Electricity; Feature extraction; Information theory; Neural networks; Power quality; Forecasting,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paraschiv F., Hadzi-Mishev R., Keles D.",Extreme value theory for heavy tails in electricity prices,2016,4,"Typical characteristics of electricity day-ahead prices at the European Power Exchange (EPEX) are very high volatility and a large number of extreme price changes. In this paper, we look at hourly spot prices at the German electricity market and apply extreme value theory (EVT) to investigate the tails of the price change distribution. Our results show the importance of delimiting price spikes and modeling them separately from the core of the price distribution. In particular, we get a realistic fit of the generalized Pareto distribution (GPD) to autoregressive-generalized autoregressive conditional heteroscedasticity (AR-GARCH) filtered price change series; based on this model, accurate forecasts of extreme price quantiles are obtained. Generally, our results suggest that EVT is of interest for both risk managers and portfolio managers in the highly volatile electricity market. © 2016 Incisive Risk Information (IP) Limited.",Electricity price modeling; Extreme value theory (evt); Forecasting of price quantiles; Price spikes; Value-at-risk (var),,4,0,1,2,"Aner ikke hva ""extreme value theory"" er, men vi skakke ha det",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hickey E., Loomis D.G., Mohammadi H.        Forecasting hourly electricity prices using ARMAX-GARCH models: An application to MISO hubs        2012        43        The recent deregulation of the electricity industry and reliance on competitive wholesale markets has generated significant volatility in wholesale electricity prices. Given the importance of short-term price forecasts in this new environment, this paper estimates and evaluates the forecasting performance of four ARMAX-GARCH models for five MISO pricing hubs (Cinergy, First Energy, Illinois, Michigan, and Minnesota) using hourly data from June 1, 2006 to October 6, 2007. Our empirical results reveal three important patterns: (a) electricity price volatility is regional and the optimum volatility model depends in part on the hub location, the forecast horizon, and regulated versus unregulated status of the market; (b) the APARCH model performs well in hubs in deregulated states; and (c) volatility dynamics in regulated states are better captured by a simple GARCH model and thus are less complex. © 2011 Elsevier B.V.        ARMAX; Electricity; GARCH; MISO; Pricing        ARMAX; Cinergy; Electricity industry; Electricity prices; Empirical results; Forecasting performance; GARCH; GARCH models; Hub location; Illinois; Michigan; Minnesota; MISO; Price forecasts; Volatility dynamics; Wholesale electricity; Wholesale markets; Deregulation; Electricity; Forecasting; Costs; competitiveness; deregulation; electricity industry; electricity supply; empirical analysis; energy market; forecasting method; numerical model; prediction; price determination        4        1, 2        1        1                                                                                                                ",,,,,,,,,,,Volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caihong L., Wenheng S.",The study on electricity price forecasting method based on time series ARMAX model and chaotic particle swarm optimization,2012,6,"The CPSO-ARMAX prediction model introduced in this paper can meet the requirement for the market participants to make competitive strategies, requiring a small amount of data. Besides, this paper presents a new method for system identification of multi-input, single output ARMAX model, and the experimental results on California power market show that the CPSO algorithm is significantly efficient in the searching of optimal values and has high identification precision. Therefore, the given method given above is of much generalizability.",ARMAX model; Chaotic particle swarm optimization algorithm; Electricity price forecasting,Commerce; Forecasting; Identification (control systems); Optimization; Particle swarm optimization (PSO); ARMAX model; Chaotic particle swarm optimizations; Competitive strategy; Electricity price forecasting; Identification precision; Market participants; Optimal values; Prediction model; Power markets,"4, 5",0,1,0,Finnes ikke lenger,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaǎbane N., Saǎdaoui F., Benammou S.",Modelling power spot prices in deregulated European energy markets: A dual long memory approach,2012,5,"In the last decade, with deregulation and introduction of competition in power markets, prices forecasting have become a real challenge for all market participants. However, forecasting is a rather complex task since electricity prices involve many features comparably with financial ones. Electricity markets have a highly volatile nature. They are indeed a more unpredictable than that of other commodities referred to as extreme volatile. In this paper, the two most emerging European electricity markets are considered. A preliminary analysis of the time series attests to the presence of a long range dependance behaviour. Therefore, prices processes are modelled using ARFIMA-FIGARCH under Gaussian and non-Gaussian distributions. Such models are sufficiently flexible to handle the long memory phenomena often encountered in both conditional mean and conditional variance in electricity spot prices. Forecasting is subsequently performed on the basis of adequate models. Copyright © 2012 Inderscience Enterprises Ltd.",ARFIMA-FIGARCH model; Electricity spot prices; European electricity markets; Forecasting; Long memory; Non-Gaussian distributions,,4,0,1,1,"Inder science, ikke tilgang",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azadeh A., Tabrizi B.H., Ebrahimipour V.",A comparative study for optimum short-term forecasting of electricity price with uncertainty,2012,2,"This paper presents an integrated algorithm consisting of artificial neural network (ANN), fuzzy linear regression (FLR) and conventional linear regression (CLR) for optimum short-term electricity price forecasting. Eight ANN models and seven well-known FLR models as well as CLR model are considered simultaneously to provide a robust framework for electricity price forecasting. Thus, it can be easily applied to uncertain and complex environments due to its flexibility. The input data are divided into train and test parts to test the results for further times. Data sets are compared with ANN, fuzzy regression (FR) and conventional regression (CR) techniques in a comprehensive empirical process, with respect to mean absolute percent error measure. It is shown that ANN leads to the most efficient outputs, although, sometimes FR models could yield suitable results. Then, the procedure is repeated for normalised data, and recent results are obtained again, which puts a validation on what was concluded before. At last, the research has been practiced in Iran and proved to be efficient, as the circumstances dominating the society do not follow a steady trend. This is the first study that investigates intelligent models for short-term electricity price forecasting with uncertainty. Copyright © 2012 Inderscience Enterprises Ltd.",ANN; Artificial neural network; Electricity price; FR; Fuzzy regression; Short-term forecasting; Uncertainty,Forecasting; Francium; Fuzzy inference; Fuzzy neural networks; Neural networks; Regression analysis; Complex environments; Electricity price forecasting; Electricity prices; Fuzzy linear regression; Fuzzy regressions; Integrated algorithm; Short-term forecasting; Uncertainty; Power markets,"4, 5",1,0,0,Sammenlignning,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mezera J., Martínek Z., Majer V., Královcová V.",The nonlinear model by using neural networks for day-ahead price forecasting,2012,,This paper provides approaches for day-ahead electricity price forecasting together with problems existing in this field mainly with nonlinear character of modelation. The fundamental model by using neural networks is showed and output results are presented such as failure of the model. Comparison with already existed models and other approaches for prediction of electricity prices are mentioned and carried out in this article. As evidence of the correct function of this method difference between real results of the spot market and output of the model is presented.,Backpropagation; Feedforward net; Neural network,Backpropagation; Costs; Forecasting; Neural networks; Day-ahead prices; Electricity price forecasting; Electricity prices; Feed-Forward; Fundamental models; Non-linear model; Nonlinear characters; Spot market; Power markets,"2, 5",0,1,0,Umulig å finne,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haugom E., Ullrich C.J.",Forecasting spot price volatility using the short-term forward curve,2012,13,"We use high frequency real time spot prices and day-ahead forward prices from the Pennsylvania-New Jersey-Maryland wholesale electricity market to calculate, describe, and forecast spot price volatility. We introduce the concept of forward realized volatility calculated from day-ahead forward prices. Forward realized volatility improves forecasts of spot price volatility - in the sense of higher R 2s and significantly lower forecast errors - when compared with forecasts based solely upon historical volatility. The largest forecast improvements obtained when the change in forward realized volatility is large in magnitude. Splitting total volatility into its continuous and jump components is crucial for forecasting volatility at weekly and monthly horizons. © 2012 Elsevier B.V.",Electricity markets; Forward prices; Implied volatility; Realized volatility; Volatility forecasting,Electricity market; Forward price; Implied volatility; Realized volatility; Volatility forecasting; Costs; Forecasting; electricity supply; energy market; forecasting method; price dynamics; Maryland; New Jersey; Pennsylvania; United States,4,"1, 2","1, 2",1,Volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gianfreda A., Grossi L.",Forecasting Italian electricity zonal prices with exogenous variables,2012,68,"In the last few years we have observed the deregulation in electricity markets and an increasing interest in price dynamics has been developed especially to consider all stylized facts shown by spot prices. Only few papers have considered the Italian Electricity Spot market since it has been deregulated recently. Therefore, this contribution is an investigation with emphasis on price dynamics accounting for technologies, market concentration, congestions and volumes. We aim to understand how these four variables affect zonal prices since these ones combine to bring about the single national price (prezzo unico d'acquisto, PUN). Hence, understanding its features is important for drawing policy indications referred to production planning and selection of generation sources, pricing and risk-hedging problems, monitoring of market power positions and finally to motivate investment strategies in new power plants and grid interconnections. Implementing Reg-ARFIMA-GARCH models, we assess the forecasting performance of selected models showing that they perform better when these factors are considered. © 2012 Elsevier B.V.",Congestions; Electricity prices; Forecasting; Fractional integration; Market power; Production technologies,Congestions; Electricity prices; Fractional integration; Market Power; Production technology; Commerce; Costs; Economics; Electricity; Forecasting; Planning; Power plants; Production control; Deregulation; electricity supply; energy market; energy policy; forecasting method; investment; price dynamics; pricing policy,4,1,"1, 3",2,Zonal congestion,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Song Q., Lei M.",Evolutionary grey model algorithm for short-term electricity price predictions,2012,1,"An evolutionary grey model algorithm noted as PGM(1, 2) is proposed for short-term electricity price prediction in Nordpool competitive power markets. With PGM(1, 2) particle swarm optimization algorithm (PSO) is utilized to explore the most suitable background weight, which is an important parameter for the grey models. Simulation experiments are conducted with hour-ahead electricity price forecasts. The results demonstrate PGM(1, 2) is valid and can obtain much better prediction accuracy than traditional grey models. © 2012 ISSN.",Electricity price; Grey model; Particle swarm optimization; Prediction,Competitive power markets; Electricity prices; Grey Model; Particle swarm optimization algorithm; Prediction accuracy; Algorithms; Electricity; Forecasting; Models; Particle swarm optimization (PSO); Costs,−1,−1,−1,−1,Finnes ikke lenger,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pape C., Hagemann S., Weber C.",Are fundamentals enough? Explaining price variations in the German day-ahead and intraday power market,2016,42,"European electricity market participants are encouraged to balance intraday deviations from their day-ahead schedules via trades in the intraday market. Together with the increasing production of variable renewable energy sources (RES), the intraday market is gaining importance. We investigate the explanatory power of a fundamental modeling approach explicitly accounting for must-run operations of combined heat and power plants (CHP) and intraday peculiarities such as a shortened intraday supply stack. The fundamental equilibria between every hour's supply stack and aggregated demand in 2012 and 2013 are modeled to yield hourly price estimates. The major benefits of a fundamental modeling approach are the ability to account for non-linearities in the supply stack and the ability to combine time-varying information consistently. The empirical results show that fundamental modeling explains a considerable share of spot price variance. However, differences between the fundamental and actual prices persist and are explored using regression models. The main differences can be attributed to (avoided) start up-costs, market states and trading behavior. © 2016 Elsevier B.V.",Fundamental price modeling; Intraday market for electricity,Cogeneration plants; Commerce; Costs; Regression analysis; Renewable energy resources; Explanatory power; Fundamental models; Increasing production; Market participants; Price models; Regression model; Time-varying information; Variable renewable energies; Power markets; demand analysis; electricity supply; energy market; heat production; power plant; price dynamics; Germany,2,1,"1, 2",1,"Utforsker hva som forklarer strømpris, gjør ikke empirisk forskning",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crisostomi E., Tucci M., Raugi M.",Methods for energy price prediction in the Smart Grid,2012,4,"This paper compares different strategies for the prediction of energy prices. This feature is very important to support the Energy Management System for the computation of optimal power flows in a smart grid framework, e.g., in a Virtual Power Plant. The paper compares simple strategies like the typical one based on the assumption that the prices of the following day will remain the same of the current day, with more complicated approaches, like the Kalman Filter and empirical strategies that also include the information of the current day of the week. The performance of the different algorithms are thoroughly discussed and compared on real data taken from the Italian energy market. © 2012 IEEE.",Kalman Filter; Optimal Power Flow Scheduling; Virtual Power Plant,Energy markets; Energy prices; Optimal power flows; Smart grid; Virtual power plants; Acoustic generators; Costs; Electric load flow; Energy management systems; Kalman filters; Power plants; Smart power grids; Electric power transmission networks,4,0,1,1,Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bandyopadhayay A., Roy S., Ghosh D.",Forecasting day-ahead price of electricity - A dynamic regression approach,2013,6,"The electricity market is being deregulated all over the world. Deregulation has brought in a variety of trading systems such as day-ahead trading and has also introduced high volatility of electricity prices. The large variability of price increases the risk for the market participants and forces the business houses to look for a forecasting accuracy of about ± 3%. This paper provides a method to predict next-day electricity prices using dynamic regression methodology where the price was regressed on selected demand, as well as supply side variables available in the public domain, and the error has been modelled using ARIMA / SARIMA models. The results were found to be very encouraging with MAPE lying in the range of ± 3.5% in most cases. In order to reduce the complexity associated with developing many models, a clustering methodology was used to group the different hours of the day so as to reduce the number of forecasting models to be fitted. Agglomerative hierarchical clustering with single linkage was used and models for representative hours had the required level of accuracy. Copyright © 2013 Inderscience Enterprises Ltd.",ARIMA; Day-ahead price; Deregulated market; Dynamic regression; MLR; Multiple linear regression; Price forecasting,,4,0,1,1,"Inder science, ikke tilgang",,,,,,,,,,,,,,,,,,,,,,,,,,,
Chowdhury M.M.P.,Predicting prices in the power TAC wholesale energy market,2016,4,"The Power TAC simulation emphasizes the strategic problems that broker agents face in managing the economics of a smart grid. The brokers must make trades in multiple markets and to be successful, brokers must make many good predictions about future supply, demand, and prices. Clearing price prediction is an important part of the broker's wholesale market strategy because it helps the broker to make intelligent decisions when purchasing energy at low cost in a day-Ahead market. I describe my work on using machine learning methods to predict prices in the Power TAC wholesale market, which will be used in future bidding strategies. © 2016, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,Artificial intelligence; Commerce; Costs; Electric power system economics; Electric power transmission networks; Forecasting; Learning systems; Smart power grids; Bidding strategy; Clearing price; Day ahead market; Intelligent decisions; Machine learning methods; Multiple markets; Wholesale energy market; Wholesale markets; Power markets,5,0,1,0,"Proceeding på 2 sider, ikke empirisk",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klæboe G., Eriksrud A.L., Fleten S.-E.",Benchmarking time series based forecasting models for electricity balancing market prices,2013,28,"In the trade-off between bidding in the day-ahead electricity market and the real time balancing market, producers need good forecasts for balancing market prices to make informed decisions. A range of earlier published models for forecasting of balancing market prices, including a few extensions, is benchmarked. The models are benchmarked both for 1 h-ahead and day-ahead forecast, and both point and interval forecasts are compared. None of the benchmarked models produce informative day-ahead point forecasts, suggesting that information available before the closing of the day-ahead market is efficiently reflected in the day-ahead market price rather than the balancing market price. Evaluation of the interval forecasts reveals that models without balancing state information overestimate variance, making them unsuitable for scenario generation. © 2013, Springer-Verlag Berlin Heidelberg.",Ancillary service market; Balancing market price; Electricity markets; Electricity price scenarios; Forecasting; Regulating market,Costs; Economic and social effects; Power markets; Ancillary service markets; Balancing market; Electricity market; Electricity prices; Regulating market; Forecasting,4,1,3,"1, 2",Comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisodia G.S.,Methodology for Electricity Price Forecasting in the Long Run,2016,1,"The long-term forecasting of electricity price has received less attention in literature. A probable reason for less attention is uncertainty about various factors in the long run, for instance- oil price, regulatory policies, political intervention, technological changes, energy mix, grid operations, etc. As a general operation, energy generated through different sources is supplied to grid which is finally composed of ""energy mix"". A large decision on the finalisation of retail electricity price could also depend on the load factors and capacity utilization of energy generating plants. A majority of the studies dealing with electricity price forecast electricity prices in the short run. Whereas, the aim of this study is to present a long-term perspective by introducing a methodology framework that consists of various parameters associated with the forecasting of electricity price in the long run. To the best of our understanding, this framework has not been proposed in existing energy literature, and therefore, under an assumption that future electricity market will be dominated by clean energy generation, this study brings novelty to the literature.",carbon price; electricity price forecasting; energy mix; long run electricity prices,Carbon; Costs; Environmental technology; Forecasting; Carbon price; Clean energy generation; Electricity price forecasting; Electricity prices; Energy mix; Long-term forecasting; Long-term perspective; Technological change; Power markets,0,3,0,0,5 siders proceeding ser det ut som,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pereira A.J.C., Saraiva J.T.",Long term impact of wind power generation in the Iberian day-ahead electricity market price,2013,25,"The Iberian power systems went through important changes at the legal, regulatory and organizational levels in the last 20 years. One of the most relevant ones was the increasing penetration of distributed generation, namely wind parks, together with the development of the common market involving Portugal and Spain. In Portugal, distributed generation is paid using feed in tariffs while in Spain it can choose between receiving a regulated feed in tariff or the market price plus a participation prize. The feed in scheme is now under discussion since it is argued that it represents an excessive cost that is internalized in the end user tariffs. However, this discussion is frequently conducted without complete knowledge of the real impact of wind power on the electricity market price, since it contributes to reduce the demand on the market thus inducing a price reduction. To clarify these issues we used a long term System Dynamics based model already reported in a previous publication to estimate the long term evolution of the market price. This model was applied to the Iberian generation system using different shares of wind power capacity to quantify the impact of wind power on the day-ahead electricity market price. © 2013 Elsevier Ltd.",Electricity markets; Electricity price; Iberian electricity market; Long term impact; System Dynamics model; Wind power,Commerce; Distributed power generation; Electric industry; System theory; Wind power; Electricity market; Electricity prices; Iberian electricity market; Long-term impacts; System dynamics model; Costs; alternative energy; demand analysis; electricity industry; energy market; power generation; price dynamics; regulatory framework; renewable resource; wind farm; wind power; Iberian Peninsula,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maciejowska K., Weron R.",Forecasting of daily electricity spot prices by incorporating intra-day relationships: Evidence form the UK power market,2013,10,"We show that incorporating the intra-day relationships of electricity prices improves the accuracy of forecasts of daily electricity spot prices. We use half-hourly data from the UK power market to model the spot prices directly (via ARX and Vector ARX models) and indirectly (via factor models). The forecasting performance of five econometric models is evaluated and compared with that of a univariate model, which uses only (aggregated) daily data. The results indicate that there are forecast improvements from incorporating the disaggregated data, especially, when the forecast horizon exceeds one week. Additional improvements are achieved when the correlation structure of the intra-day relationships is explored. © 2013 IEEE.",Disaggregated data; Electricity spot price; Factor model; Forecasting; Principal components; Vector autoregression,Disaggregated data; Electricity spot price; Factor model; Principal Components; Vector autoregressions; Commerce; Costs; Electricity; Regression analysis; Forecasting,4,"1, 2",1,1,Inntraday,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frömmel M., Han X., Kratochvil S.",Modeling the daily electricity price volatility with realized measures,2014,18,"We propose using Realized GARCH-type models to estimate the daily price volatility in the EPEX power markets. The model specifications extract the volatility-related information from realized measures, which improves the in-sample fit of the data. More importantly, evidence on the out-of-sample predictability reinforces the value of the specifications, as the forecast quality is improved over the benchmark EGARCH model under eight conventional criteria. In particular, we show that the benefit of including intraday range as a realized measure is more substantial than realized variance. All the key findings are robust under rolling-window and recursive estimation schemes, Gaussian and skewed t-distribution assumptions on the innovation process, and alternative specifications on the predictable price component. © 2014 Elsevier B.V.",Electricity; Intraday range; Realized GARCH; Volatility forecasting,Benchmarking; Electricity; Specifications; Electricity price volatilities; GARCH-type models; Innovation process; Intraday range; Model specifications; Realized GARCH; Recursive estimation schemes; Volatility forecasting; Costs; electricity generation; energy market; numerical model; prediction; price dynamics,4,1,"1, 2",1,Volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrivastava N.A., Panigrahi B.K., Lim M.-H.",Electricity price classification using extreme learning machines,2016,13,"Forecasting electricity prices has been a widely investigated research issue in the deregulated power market scenario. High price volatilities, price spikes caused by a number of factors such as weather uncertainty, fluctuating fuel prices, transmission bottlenecks, etc., make the task of accurate price forecasting a formidable challenge for the market participants. A number of models have been proposed by researchers; however, achieving high accuracy is always not possible. In some specific applications such as self-scheduling by demand side participants, certain price thresholds are more useful than accurate price forecasts. In this paper, we have investigated the application of a novel neural network-based technique called extreme learning machine for the problem of classification of future electricity prices with respect to certain price thresholds. Different models corresponding to different lead times are developed and tested with data corresponding to Ontario and PJM markets. It is observed that classification with ELM is fast, less sensitive to user defined parameters and easily implementable. © 2014, Springer-Verlag London.",Classification; Deregulation; Electricity price; Extreme learning machine; Neural networks,Classification (of information); Commerce; Costs; Deregulation; Forecasting; Knowledge acquisition; Neural networks; Deregulated power markets; Electricity prices; Extreme learning machine; Forecasting electricity; Market participants; Novel neural network; Price forecasting; User-defined parameters; Learning systems,5,1,1,0,Classifying,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abedinia O., Amjady N., Shayanfar H.A.",A hybrid artificial neural network and VEPSO based on day-ahead price forecasting of electricity markets,2014,3,"In this paper a new Hybrid technique of Artificial Neural Network (ANN) and Vector Evaluated Particle Swarm Optimization (VEPSO) is presented as a forecasting strategy for day-ahead price of electricity market. The proposed technique the proposed intelligent technique is applied to weights and bias of ANN to improve the learning capability through the minimum error. A comprehensive comparative analysis with other soft computing and hybrid models shows a significant improvement in forecast error, through the application of a proposed hybrid model. The proposed technique is tested on PJM electricity market through comparison with other strategies for this problem. ©2014 International Conference on Artificial Intelligence, ICAI 2014 - WORLDCOMP 2014.All right reserved.",ANN; Feature selection; Price forecasting; VEPSO,Commerce; Electric industry; Feature extraction; Forecasting; Neural networks; Particle swarm optimization (PSO); Soft computing; Comparative analysis; Hybrid artificial neural network; Intelligent techniques; Learning capabilities; Pjm electricity markets; Price forecasting; Vector evaluated particle swarm optimization (VEPSO); VEPSO; Power markets,5,1,1,1,Finner ikke,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clements A.E., Herrera R., Hurn A.S.",Modelling interregional links in electricity price spikes,2015,14,"Abnormally high price spikes in spot electricity markets represent a significant risk to market participants. As such, a literature has developed that focuses on forecasting the probability of such spike events, moving beyond simply forecasting the level of price. Many univariate time series models have been proposed to deal with spikes within an individual market region. This paper is the first to develop a multivariate self-exciting point process model for dealing with price spikes across connected regions in the Australian National Electricity Market. The importance of the physical infrastructure connecting the regions on the transmission of spikes is examined. It is found that spikes are transmitted between the regions, and the size of spikes is influenced by the available transmission capacity. It is also found that improved risk estimates are obtained when inter-regional linkages are taken into account. © 2015 Elsevier B.V.",Electricity prices; Hawkes process; Peaks over threshold; Point process; Price spikes; Transmission capacity,Commerce; Power markets; Electricity prices; Peaks over threshold; Point process; Price spike; Transmission capacities; Costs; electricity generation; energy market; multivariate analysis; price determination; price dynamics; threshold; Australia,"2, 4",1,1,0,Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nowotarski J., Raviv E., Trück S., Weron R.",An empirical comparison of alternative schemes for combining electricity spot price forecasts,2014,60,"In this comprehensive empirical study we critically evaluate the use of forecast averaging in the context of electricity prices. We apply seven averaging and one selection scheme and perform a backtesting analysis on day-ahead electricity prices in three major European and US markets. Our findings support the additional benefit of combining forecasts of individual methods for deriving more accurate predictions, however, the performance is not uniform across the considered markets and periods. In particular, equally weighted pooling of forecasts emerges as a simple, yet powerful technique compared with other schemes that rely on estimated combination weights, but only when there is no individual predictor that consistently outperforms its competitors. Constrained least squares regression (CLS) offers a balance between robustness against such well performing individual methods and relatively accurate forecasts, on average better than those of the individual predictors. Finally, some popular forecast averaging schemes - like ordinary least squares regression (OLS) and Bayesian Model Averaging (BMA) - turn out to be unsuitable for predicting day-ahead electricity prices. © 2014 Elsevier B.V.",ARX model; Constrained least squares regression; Day-ahead market; Electricity price forecasting; Forecast combination,Bayesian networks; Commerce; Costs; Electric load forecasting; Least squares approximations; Regression analysis; ARX model; Constrained least squares; Day ahead market; Electricity price forecasting; Forecast combinations; Forecasting; Bayesian analysis; electricity supply; forecasting method; least squares method; market conditions; price determination; regression analysis; Europe; United States,"3, 4",1,1,1,"Comparison, MEN TROLIG VIKTIG PAPER",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fragkioudaki A., Marinakis A., Cherkaoui R.",Forecasting price spikes in European day-ahead electricity markets using decision trees,2015,6,"Although the techniques for normal price prediction are well advanced, price spike prediction remains a challenge. The aim of this paper is to present a method to predict both normal day-ahead electricity prices as well as day-ahead price spikes using classification and regression trees. The models are build using historical data of European electricity market and transmission system variables. The proposed method is tested on several bidding zones of Europe. © 2015 IEEE.",Day-ahead electricity markets; decision trees; feature selection; price forecasting; price spikes,Commerce; Costs; Decision trees; Feature extraction; Forecasting; Forestry; Classification and regression tree; Day-ahead electricity market; Day-ahead prices; Electricity prices; Price forecasting; Price prediction; Price spike; Transmission systems; Power markets,"4, 5",1,1,1,Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koban V., Zlatar I., Pantoš M., Omladič M.",A remark on forecasting spikes in electricity prices,2015,4,"This paper presents a hybrid model for electricity price forecasting with focus on price spikes predictions. Nowadays, short-term forecasts have become increasingly important since the rise of the competitive spot electricity markets. A two-layered model is introduced for forecasting 7-days ahead hourly electricity price values of electricity spot market. Due to the importance of improved analysis of spikes for risk management, price segmentation into normal range and price spike module is applied. Price spike module consists of two segments: obtaining the probability of price spike occurrence and predicting the value of price spike. To avoid reliance on a single classifier, the compound classifier is proposed in the paper, which combines three individual classification methods: a support vector machine (SVM) classification, decision trees (DT) and probabilistic artificial neural network (PANN). The k-nearest neighbors algorithm (k-NN) is applied for the price spike value prediction. © 2015 IEEE.",Classification algorithms; Electricity price forecast; Nearest neighbor searches; Price spikes; Wavelet coefficients,Commerce; Costs; Decision trees; Forecasting; Nearest neighbor search; Neural networks; Risk assessment; Risk management; Support vector machines; Classification algorithm; Classification methods; Electricity price forecasting; Electricity prices; Electricity spot market; Price spike; Spot electricity market; Wavelet coefficients; Power markets,5,2,1,2,Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grote F., Maaz A., Drees T., Moser A.",Modeling of electricity pricing in European market simulations,2015,10,"The increasing share of renewable energies as well as the age structure of the thermal generation stack lead to big changes in the European energy system. This paper describes a method for determining market prices for electricity based on the cost-minimal European power plant dispatch and different mark-ups. Thus, the influences of these mark-ups on simulated prices are estimated. Exemplary results are shown for Germany for a backtesting scenario of the year 2014 and a future scenario for the year 2024. The results are compared to historical price patterns and show a better match with the historic prices, but also still room for improvement. © 2015 IEEE.",Market Prices for Electricity; Power generation dispatch; Power generation planning; Power system simulation,Commerce; Costs; Electric load dispatching; Power markets; Electricity pricing; European markets; Market price; Power generation dispatch; Power generation planning; Power system simulations; Renewable energies; Thermal generation; Electric power system planning,1,−1,−1,−1,Ka e,,,,,,,,,,,,,,,,,,,,,,,,,,,
